id,Titre,Date,Pays,Director,acteurs,note,Decennie
tt0111161,Les Évadés,1994,United States,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",9.3,"[1990, 2000)"
tt0068646,Le Parrain,1972,United States,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan",9.2,"[1970, 1980)"
tt0468569,The Dark Knight : Le Chevalier noir,2008,United States,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart",9.0,"[2000, 2010)"
tt0071562,"Le Parrain, 2ᵉ partie",1974,United States,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall",9.0,"[1970, 1980)"
tt0050083,12 Hommes en colère,1957,United States,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam",9.0,"[1950, 1960)"
tt0108052,La liste de Schindler,1993,United States,Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley",9.0,"[1990, 2000)"
tt0167260,Le Seigneur des anneaux : Le Retour du roi,2003,New Zealand,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen",9.0,"[2000, 2010)"
tt0110912,Pulp Fiction,1994,United States,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson",8.9,"[1990, 2000)"
tt0120737,Le Seigneur des anneaux : La Communauté de l'anneau,2001,New Zealand,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom",8.8,"[2000, 2010)"
tt0060196,"Le Bon, la brute, le truand",1966,Italy,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef",8.8,"[1960, 1970)"
tt0109830,Forrest Gump,1994,United States,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise",8.8,"[1990, 2000)"
tt0137523,Fight Club,1999,Germany,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf",8.8,"[1990, 2000)"
tt0167261,Le Seigneur des anneaux : Les Deux Tours,2002,New Zealand,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen",8.8,"[2000, 2010)"
tt1375666,Inception,2010,United States,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",8.8,"[2010, 2020)"
tt0080684,L'Empire contre-attaque,1980,United States,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher",8.7,"[1980, 1990)"
tt0133093,Matrix,1999,United States,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",8.7,"[1990, 2000)"
tt0099685,Les affranchis,1990,United States,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci",8.7,"[1990, 2000)"
tt0073486,Vol au-dessus d'un nid de coucou,1975,United States,Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman",8.7,"[1970, 1980)"
tt0114369,Seven,1995,United States,David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey",8.6,"[1990, 2000)"
tt0038650,La vie est belle,1946,United States,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore",8.6,"[1940, 1950)"
tt0047478,Les 7 Samouraïs,1954,Japan,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima",8.6,"[1950, 1960)"
tt0102926,Le Silence des agneaux,1991,United States,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney",8.6,"[1990, 2000)"
tt0120815,Il faut sauver le soldat Ryan,1998,United States,Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore",8.6,"[1990, 2000)"
tt0317248,La cité de Dieu,2002,Brazil,"Fernando Meirelles, Kátia Lund","Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele",8.6,"[2000, 2010)"
tt0816692,Interstellar,2014,United States,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain",8.6,"[2010, 2020)"
tt0118799,La vie est belle,1997,Italy,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini",8.6,"[1990, 2000)"
tt0120689,La ligne verte,1999,United States,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse",8.6,"[1990, 2000)"
tt0076759,La guerre des étoiles,1977,United States,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher",8.6,"[1970, 1980)"
